Voltage_V,Capacity_mAh_g,Chemistry,Cycle,Binder
3.6,154.75237620698232,LFP,1,PVDF
3.588888888888889,153.85788095157847,LFP,1,PVDF
3.577777777777778,151.5394743794934,LFP,1,PVDF
3.566666666666667,150.40604831627093,LFP,1,PVDF
3.555555555555556,147.65133669198016,LFP,1,PVDF
3.5444444444444447,146.8637868199453,LFP,1,PVDF
3.533333333333333,144.67468038655431,LFP,1,PVDF
3.522222222222222,142.9233605280154,LFP,1,PVDF
3.511111111111111,141.73059573379336,LFP,1,PVDF
3.5,141.13468955047117,LFP,1,PVDF
3.488888888888889,139.4522062433407,LFP,1,PVDF
3.477777777777778,137.5371591357746,LFP,1,PVDF
3.466666666666667,135.08776494054396,LFP,1,PVDF
3.4555555555555557,134.19443334053645,LFP,1,PVDF
3.4444444444444446,132.8818821164228,LFP,1,PVDF
3.4333333333333336,131.25725867250276,LFP,1,PVDF
3.4222222222222225,128.68605221171458,LFP,1,PVDF
3.4111111111111114,127.60124852518653,LFP,1,PVDF
3.4,126.45282701286357,LFP,1,PVDF
3.388888888888889,125.19146979543804,LFP,1,PVDF
3.3777777777777778,122.26371887587098,LFP,1,PVDF
3.3666666666666667,121.71917924442253,LFP,1,PVDF
3.3555555555555556,120.31022406284346,LFP,1,PVDF
3.3444444444444446,119.1019641179036,LFP,1,PVDF
3.3333333333333335,117.46204536150572,LFP,1,PVDF
3.3222222222222224,115.84536067453293,LFP,1,PVDF
3.3111111111111113,113.59256320751906,LFP,1,PVDF
3.3000000000000003,111.47699083804989,LFP,1,PVDF
3.2888888888888888,110.6729239738223,LFP,1,PVDF
3.2777777777777777,109.80872471069878,LFP,1,PVDF
3.2666666666666666,108.44309450759823,LFP,1,PVDF
3.2555555555555555,106.54010024072643,LFP,1,PVDF
3.2444444444444445,104.83795454671991,LFP,1,PVDF
3.2333333333333334,103.25156240525352,LFP,1,PVDF
3.2222222222222223,101.22214165342167,LFP,1,PVDF
3.2111111111111112,99.87362932576677,LFP,1,PVDF
3.2,99.21165268119826,LFP,1,PVDF
3.188888888888889,96.34429736113066,LFP,1,PVDF
3.177777777777778,96.06142420512305,LFP,1,PVDF
3.166666666666667,93.53147917826361,LFP,1,PVDF
3.1555555555555554,92.79366775579862,LFP,1,PVDF
3.1444444444444444,89.86600264224383,LFP,1,PVDF
3.1333333333333333,89.30082069331642,LFP,1,PVDF
3.1222222222222222,87.07794197050181,LFP,1,PVDF
3.111111111111111,85.17715188825504,LFP,1,PVDF
3.1,84.43251095116412,LFP,1,PVDF
3.088888888888889,83.26643826999813,LFP,1,PVDF
3.077777777777778,80.77769010214492,LFP,1,PVDF
3.066666666666667,78.88911128695398,LFP,1,PVDF
3.0555555555555554,78.03115533075716,LFP,1,PVDF
3.0444444444444443,76.47181849427754,LFP,1,PVDF
3.033333333333333,75.2281544181849,LFP,1,PVDF
3.022222222222222,73.8672503358314,LFP,1,PVDF
3.011111111111111,71.80120390525443,LFP,1,PVDF
3.0,71.19712159902933,LFP,1,PVDF
2.988888888888889,68.81994575964134,LFP,1,PVDF
2.977777777777778,66.97307358011176,LFP,1,PVDF
2.966666666666667,64.77896159930532,LFP,1,PVDF
2.9555555555555557,63.89187396444015,LFP,1,PVDF
2.9444444444444446,62.29346869763418,LFP,1,PVDF
2.9333333333333336,61.380273014222006,LFP,1,PVDF
2.9222222222222225,59.569820873856195,LFP,1,PVDF
2.9111111111111114,57.18735294674798,LFP,1,PVDF
2.9,56.30162314651126,LFP,1,PVDF
2.888888888888889,54.98971998491178,LFP,1,PVDF
2.8777777777777778,53.85642852448269,LFP,1,PVDF
2.8666666666666667,51.9746232742373,LFP,1,PVDF
2.8555555555555556,50.34975306342753,LFP,1,PVDF
2.8444444444444446,48.43783117932088,LFP,1,PVDF
2.8333333333333335,47.04040263046654,LFP,1,PVDF
2.8222222222222224,45.909457523849404,LFP,1,PVDF
2.811111111111111,43.05677482049795,LFP,1,PVDF
2.8,41.98690230137081,LFP,1,PVDF
2.7888888888888888,40.21379603634268,LFP,1,PVDF
2.7777777777777777,39.22811541582538,LFP,1,PVDF
2.7666666666666666,38.092108390029225,LFP,1,PVDF
2.7555555555555555,35.6169686045848,LFP,1,PVDF
2.7444444444444445,33.15876200995213,LFP,1,PVDF
2.7333333333333334,32.58626226691613,LFP,1,PVDF
2.7222222222222223,31.68756795117858,LFP,1,PVDF
2.7111111111111112,29.938104482386326,LFP,1,PVDF
2.7,28.32184110055819,LFP,1,PVDF
2.688888888888889,26.406209771457174,LFP,1,PVDF
2.677777777777778,24.34514950002603,LFP,1,PVDF
2.666666666666667,23.68077047468967,LFP,1,PVDF
2.6555555555555554,21.444440854601574,LFP,1,PVDF
2.6444444444444444,21.39208857205063,LFP,1,PVDF
2.6333333333333333,19.02375225527917,LFP,1,PVDF
2.6222222222222222,16.886632945566447,LFP,1,PVDF
2.611111111111111,15.309722918890623,LFP,1,PVDF
2.6,14.007401885019656,LFP,1,PVDF
2.588888888888889,12.372581473057087,LFP,1,PVDF
2.5777777777777775,11.48920776757439,LFP,1,PVDF
2.5666666666666664,9.462457410422948,LFP,1,PVDF
2.5555555555555554,7.441891901838174,LFP,1,PVDF
2.5444444444444443,7.191386559611841,LFP,1,PVDF
2.533333333333333,4.709278828535574,LFP,1,PVDF
2.522222222222222,3.507502946501423,LFP,1,PVDF
2.511111111111111,1.2574283005361078,LFP,1,PVDF
2.5,0.1815578138722617,LFP,1,PVDF
3.6,151.5216591752645,LFP,10,PVDF
3.588888888888889,148.89232898637516,LFP,10,PVDF
3.577777777777778,149.31584064038398,LFP,10,PVDF
3.566666666666667,147.42457476834528,LFP,10,PVDF
3.555555555555556,145.05170433254142,LFP,10,PVDF
3.5444444444444447,143.17021657311685,LFP,10,PVDF
3.533333333333333,142.3661817029769,LFP,10,PVDF
3.522222222222222,140.7067991985127,LFP,10,PVDF
3.511111111111111,139.31233427581748,LFP,10,PVDF
3.5,137.7013379523633,LFP,10,PVDF
3.488888888888889,136.3297192016496,LFP,10,PVDF
3.477777777777778,135.2713010094229,LFP,10,PVDF
3.466666666666667,133.3027492150217,LFP,10,PVDF
3.4555555555555557,130.9649193157328,LFP,10,PVDF
3.4444444444444446,130.64207794427438,LFP,10,PVDF
3.4333333333333336,129.25215325239267,LFP,10,PVDF
3.4222222222222225,128.47892379063495,LFP,10,PVDF
3.4111111111111114,124.81219785948949,LFP,10,PVDF
3.4,123.96643533541474,LFP,10,PVDF
3.388888888888889,121.2749944299755,LFP,10,PVDF
3.3777777777777778,121.06366781248998,LFP,10,PVDF
3.3666666666666667,118.98404253794737,LFP,10,PVDF
3.3555555555555556,118.69091503717361,LFP,10,PVDF
3.3444444444444446,115.81293410748222,LFP,10,PVDF
3.3333333333333335,113.82669952623826,LFP,10,PVDF
3.3222222222222224,112.90670862760102,LFP,10,PVDF
3.3111111111111113,110.6256460650741,LFP,10,PVDF
3.3000000000000003,110.45998913066668,LFP,10,PVDF
3.2888888888888888,107.5229473330152,LFP,10,PVDF
3.2777777777777777,107.04076709946531,LFP,10,PVDF
3.2666666666666666,104.45868185167602,LFP,10,PVDF
3.2555555555555555,103.80848831206619,LFP,10,PVDF
3.2444444444444445,103.26137574496713,LFP,10,PVDF
3.2333333333333334,101.09106006551315,LFP,10,PVDF
3.2222222222222223,98.95003877004316,LFP,10,PVDF
3.2111111111111112,97.83723328078648,LFP,10,PVDF
3.2,96.33289291400862,LFP,10,PVDF
3.188888888888889,95.03124910363849,LFP,10,PVDF
3.177777777777778,92.58255420180674,LFP,10,PVDF
3.166666666666667,92.03331647310121,LFP,10,PVDF
3.1555555555555554,88.85588647310647,LFP,10,PVDF
3.1444444444444444,88.36418946545633,LFP,10,PVDF
3.1333333333333333,86.90604427314284,LFP,10,PVDF
3.1222222222222222,85.93789406013461,LFP,10,PVDF
3.111111111111111,84.10359552616782,LFP,10,PVDF
3.1,81.86054802563162,LFP,10,PVDF
3.088888888888889,80.54188244238163,LFP,10,PVDF
3.077777777777778,79.60476846279424,LFP,10,PVDF
3.066666666666667,77.93694423981862,LFP,10,PVDF
3.0555555555555554,76.15796530866335,LFP,10,PVDF
3.0444444444444443,74.6781599214556,LFP,10,PVDF
3.033333333333333,73.73771026752162,LFP,10,PVDF
3.022222222222222,71.60182943523776,LFP,10,PVDF
3.011111111111111,70.28767955238821,LFP,10,PVDF
3.0,69.8877429211734,LFP,10,PVDF
2.988888888888889,66.56198276142155,LFP,10,PVDF
2.977777777777778,64.81895216680655,LFP,10,PVDF
2.966666666666667,64.60771781772357,LFP,10,PVDF
2.9555555555555557,62.3476509074076,LFP,10,PVDF
2.9444444444444446,60.99890312691372,LFP,10,PVDF
2.9333333333333336,59.23849315444985,LFP,10,PVDF
2.9222222222222225,57.97022072586203,LFP,10,PVDF
2.9111111111111114,57.370439305024334,LFP,10,PVDF
2.9,55.44328393101554,LFP,10,PVDF
2.888888888888889,53.94438091038036,LFP,10,PVDF
2.8777777777777778,51.27620507927093,LFP,10,PVDF
2.8666666666666667,49.87979119162119,LFP,10,PVDF
